state,lga,facilityname,datimcode
OSUN,IFE CENTRAL,Obafemi Awolowo University Teaching Hospital Complex,u4jq9CmP9dk
OSUN,IFE CENTRAL,Seventh Day Adventist Hospital-Ile-Ife,xGKk2hlvtUz
OSUN,IFE EAST,Oke-Ogbo General Hospital- Ile Ife,nE05pmOYy9Z
OSUN,IFE NORTH,Our Lady of Lourdes Hospital-Ipetumodun,ikrzY7sZjRk
OSUN,ILA,Ila Orangun State Hospital,hln2LIDV1Xl
OSUN,ILESA WEST,Ilesa General Hospital,JE2mJgfuG8h
OSUN,IREWOLE,Ikire Specialist Hospital,gqn7FlDPWzJ
OSUN,ISOKAN,Catholic Hospital and Maternity-Okeola,NrAixqBOeRR
OSUN,IWO,State Hospital-Iwo,RjMnBpvNTLM
OSUN,IWO,Victory Specialist Hospital- Iwo,d5p5Ehrl5IH
OSUN,OLORUNDA,Ladoke Akintola Teaching Hospital-Oshogbo,mgEojaVd0QS
OSUN,ORIADE,Ijebu-Jesha General Hospital,u3qzTFubA8g
OSUN,Osogbo,Our Lady of Fatima Catholic Hospital-Jaleyemi,tuPG3r8X0RC
OSUN,Osogbo,State Hospital Asubiaro,kzB32IGuzWj
OYO,AFIJIO,Ilora General Hospital,Klu5oTZCxfx
OYO,AKINYELE,Moniya Primary Health Center,o9UJUeIeW6P
OYO,AKINYELE,Ojoo Primary Health Centre,fLGtJdQIfx4
OYO,EGBEDA,St. Dominics Catholic Hospital-Ogungbade,JzYcMwOP9J6
OYO,IBADAN NORTH,Adeoyo Maternity Hospital,MamvPxaqiTG
OYO,IBADAN NORTH,"Comfort Medical Centre, Oyo",bxpxkMEq3fq
OYO,IBADAN NORTH,Idi Ogungun Primary Health Center,lUK0PY9z0dH
OYO,IBADAN NORTH,"oy OLA Catholic Hospital, Oluyoro, Ibadan",In3kBMCkxaK
Oyo,Ibadan North,University College Hospital,QdL8RSYxeLg
OYO,IBADAN NORTH EAST,Alafara Oje Primary Health Center,du2NydHQODD
OYO,IBADAN NORTH EAST,Iwo Road Primary Health Center,WSxGzRDVpuS
OYO,IBADAN NORTH EAST,St. Peters General Hospital-Aremo,L8ySVydOOzd
OYO,IBADAN SOUTH EAST,Odinjo Primary Health Center,BQvikCG40GE
OYO,IBADAN SOUTH EAST,Oranyan Primary Health Center,ljnFSN5dej3
OYO,IBADAN SOUTH EAST,St. Mary's Catholic Hospital-Eleta,jyHRtpRCr7M
OYO,IBADAN SOUTH WEST,Jericho Specialist Hospital,DpCYi3E6I4c
